ESTADO,POBLACION,CLAVE
AGUASCALIENTES,1369306,1
BAJA CALIFORNIA,3729225,2
BAJA CALIFORNIA SUR,878830,3
CAMPECHE,974877,4
CHIAPAS,5568648,7
CHIHUAHUA,3882739,8
CIUDAD DE MÉXICO,8738914,9
COAHUILA DE ZARAGOZA,3129782,5
COLIMA,782831,6
DURANGO,1847547,10
ESTADO DE MÉXICO,18075065,15
GUANAJUATO,6033559,11
GUERRERO,3657305,12
HIDALGO,3044937,13
JALISCO,8363277,14
MICHOACÁN DE OCAMPO,4741317,16
MORELOS,2030580,17
NAYARIT,1333853,18
NUEVO LEÓN,5440277,19
OAXACA,4127899,20
PUEBLA,6481536,21
QUERÉTARO,2147765,22
QUINTANA ROO,1798603,23
SAN LUIS POTOSÍ,2868906,24
SINALOA,3105704,25
SONORA,3125865,26
TABASCO,2498558,27
TAMAULIPAS,3735589,28
TLAXCALA,1363576,29
VERACRUZ DE IGNACIO DE LA LLAVE,8328389,30
YUCATÁN,2252505,31
ZACATECAS,1633878,32
