ds,holiday,lower_window,upper_window
01/01/2020,año_nuevo,-2,14
01/05/2020,dia_trabajo,-2,14
16/09/2020,independencia,-2,14
24/12/2020,nochebuena,-2,14
25/12/2020,navidad,-2,14
31/12/2020,fin_año,-2,14
10/05/2020,dia_madre,-2,14
01/11/2020,dia_muertos,-2,14
02/11/2020,dia_muertos,-2,14
12/12/2020,guadalupe,-2,14
21/06/2020,dia_padre,-2,14
03/02/2020,constitucion,-2,14
16/03/2020,juarez,-2,14
16/11/2020,revolucion,-2,14
09/04/2020,semana_santa,-2,14
10/04/2020,semana_santa,-2,14
01/01/2021,año_nuevo,-2,14
01/05/2021,dia_trabajo,-2,14
16/09/2021,independencia,-2,14
24/12/2021,nochebuena,-2,14
25/12/2021,navidad,-2,14
31/12/2021,fin_año,-2,14
10/05/2021,dia_madre,-2,14
01/11/2021,dia_muertos,-2,14
02/11/2021,dia_muertos,-2,14
12/12/2021,guadalupe,-2,14
20/06/2021,dia_padre,-2,14
01/02/2021,constitucion,-2,14
15/03/2021,juarez,-2,14
15/11/2021,revolucion,-2,14
01/04/2021,semana_santa,-2,14
02/04/2021,semana_santa,-2,14
01/01/2022,año_nuevo,-2,14
01/05/2022,dia_trabajo,-2,14
16/09/2022,independencia,-2,14
24/12/2022,nochebuena,-2,14
25/12/2022,navidad,-2,14
31/12/2022,fin_año,-2,14
10/05/2022,dia_madre,-2,14
01/11/2022,dia_muertos,-2,14
02/11/2022,dia_muertos,-2,14
12/12/2022,guadalupe,-2,14
19/06/2022,dia_padre,-2,14
07/02/2022,constitucion,-2,14
21/03/2022,juarez,-2,14
21/11/2022,revolucion,-2,14
14/04/2022,semana_santa,-2,14
15/04/2022,semana_santa,-2,14
